-3.0518e-05,0
0,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-3.0518e-05
0,0
0,0
0,0
0,0
3.0518e-05,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-3.0518e-05
0,0
0,0
0,0
0,0
0,0
0,0
0,3.0518e-05
0,0
0,0
0,0
3.0518e-05,0
0,0
3.0518e-05,3.0518e-05
0,0
0,-3.0518e-05
3.0518e-05,3.0518e-05
0,0
0,0
0,0
3.0518e-05,0
0,0
3.0518e-05,0
0,0
0,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,-3.0518e-05
-3.0518e-05,0
0,0
0,-3.0518e-05
0,0
0,0
0,0
0,0
0,3.0518e-05
0,3.0518e-05
0,0
0,0
0,3.0518e-05
-3.0518e-05,0
3.0518e-05,-3.0518e-05
0,0
0,0
0,0
0,-3.0518e-05
0,0
0,-3.0518e-05
0,-3.0518e-05
0,0
0,0
-3.0518e-05,0
0,0
0,0
0,-3.0518e-05
0,0
0,0
0,0
0,0
-3.0518e-05,-3.0518e-05
0,0
0,0
3.0518e-05,0
0,0
0,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,3.0518e-05
0,0
3.0518e-05,-3.0518e-05
3.0518e-05,0
0,0
-3.0518e-05,-3.0518e-05
0,0
0,-3.0518e-05
0,-3.0518e-05
0,0
0,-3.0518e-05
0,0
0,3.0518e-05
0,0
0,0
0,0
3.0518e-05,0
3.0518e-05,0
0,0
0,0
0,3.0518e-05
0,0
3.0518e-05,3.0518e-05
0,0
0,0
0,0
0,0
-3.0518e-05,3.0518e-05
0,0
0,0
0,0
0,3.0518e-05
0,-3.0518e-05
0,0
0,-3.0518e-05
-3.0518e-05,0
0,3.0518e-05
0,-3.0518e-05
0,0
0,0
0,0
-3.0518e-05,-3.0518e-05
0,0
3.0518e-05,0
3.0518e-05,0
0,0
0,0
0,3.0518e-05
0,0
0,-3.0518e-05
0,0
0,0
0,3.0518e-05
-3.0518e-05,0
0,0
0,0
0,0
0,3.0518e-05
0,0
0,0
0,0
-3.0518e-05,0
0,-3.0518e-05
0,0
0,0
0,0
0,0
0,0
3.0518e-05,0
0,-3.0518e-05
3.0518e-05,0
0,-3.0518e-05
-3.0518e-05,0
0,0
3.0518e-05,-3.0518e-05
0,0
-3.0518e-05,3.0518e-05
0,0
0,3.0518e-05
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
3.0518e-05,-3.0518e-05
0,0
-3.0518e-05,6.1035e-05
0,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,-3.0518e-05
0,0
0,0
0,0
0,-3.0518e-05
0,0
0,-3.0518e-05
0,0
-3.0518e-05,0
0,0
0,0
3.0518e-05,3.0518e-05
-3.0518e-05,0
0,0
0,0
3.0518e-05,0
0,0
0,0
0,0
0,-3.0518e-05
0,0
0,3.0518e-05
0,0
0,0
0,3.0518e-05
3.0518e-05,0
0,0
0,0
-3.0518e-05,0
3.0518e-05,0
3.0518e-05,0
0,3.0518e-05
0,0
3.0518e-05,0
0,0
3.0518e-05,-3.0518e-05
-3.0518e-05,3.0518e-05
0,0
0,-3.0518e-05
0,0
0,0
-3.0518e-05,0
0,-3.0518e-05
3.0518e-05,6.1035e-05
0,0
-6.1035e-05,-6.1035e-05
0,0
6.1035e-05,0
0,0
0,0
-3.0518e-05,0
0,0
0,3.0518e-05
-3.0518e-05,-3.0518e-05
-3.0518e-05,-6.1035e-05
9.1553e-05,9.1553e-05
3.0518e-05,3.0518e-05
-9.1553e-05,-6.1035e-05
0,-3.0518e-05
0,-3.0518e-05
6.1035e-05,6.1035e-05
-0.00012207,-0.00012207
0.00015259,0.00015259
-0.00021362,-0.00024414
0.00018311,0.00021362
-0.00021362,-0.00015259
-6.1035e-05,-6.1035e-05
0.00018311,0.00015259
-9.1553e-05,-0.00012207
9.1553e-05,9.1553e-05
-6.1035e-05,-3.0518e-05
6.1035e-05,3.0518e-05
-3.0518e-05,-3.0518e-05
6.1035e-05,3.0518e-05
0,-3.0518e-05
0,0
0,-3.0518e-05
0,3.0518e-05
0,0
0,0
0,-3.0518e-05
-3.0518e-05,0
0,0
0,0
3.0518e-05,0
3.0518e-05,0
0,3.0518e-05
0,0
3.0518e-05,0
0,0
0,0
0,0
-3.0518e-05,0
0,-3.0518e-05
3.0518e-05,0
0,0
0,0
0,0
0,0
3.0518e-05,-3.0518e-05
0,-3.0518e-05
0,0
0,0
0,-3.0518e-05
0,0
0,0
0,0
0,0
-3.0518e-05,0
0,0
-3.0518e-05,3.0518e-05
3.0518e-05,0
0,0
0,0
0,0
-3.0518e-05,0
0,0
-3.0518e-05,0
-3.0518e-05,0
0,0
0,0
0,0
0,0
0,0
0,0
3.0518e-05,0
0,0
3.0518e-05,6.1035e-05
-3.0518e-05,-3.0518e-05
-6.1035e-05,-6.1035e-05
6.1035e-05,6.1035e-05
6.1035e-05,3.0518e-05
-3.0518e-05,-6.1035e-05
0,-3.0518e-05
3.0518e-05,3.0518e-05
0,3.0518e-05
3.0518e-05,0
-3.0518e-05,-3.0518e-05
-3.0518e-05,-6.1035e-05
3.0518e-05,3.0518e-05
0.00015259,0.00015259
0.00015259,0.00015259
-0.00012207,-0.00012207
-0.00033569,-0.00033569
3.0518e-05,3.0518e-05
0.00030518,0.00030518
9.1553e-05,9.1553e-05
-0.00012207,-9.1553e-05
-0.00024414,-0.00024414
-3.0518e-05,-3.0518e-05
0.00033569,0.00033569
3.0518e-05,3.0518e-05
-0.00018311,-0.00021362
-9.1553e-05,-9.1553e-05
0,0
0.00024414,0.00024414
